targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
1H0419-577,1123,NGC1574,16,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.2093865133598024,0.1118372581183907,168.90441325282507,140.29611541307906,199.52704780119473,x,902.0,1041.0,-82.0,19.3,x,27.0,24.6,24.0,45.0,67.5,203.31,.LAS-*.,0.79,35.0,SA0^-,SA0^-,0.003472,0.104,x,?,True,True,1123,"1100, 1168",269,1.62E+14,26.8,Lya,"blended with 1123, 1188 - errors are way too small?"
1H0419-577,1188,NGC1574,16,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.14432343975439138,0.07708585202242804,168.90441325282507,140.29611541307906,199.52704780119473,x,902.0,1041.0,-147.0,19.3,x,27.0,24.6,24.0,45.0,67.5,203.31,.LAS-*.,0.79,35.0,SA0^-,SA0^-,0.003472,0.104,x,?,True,True,1188,"1168, 1252",240,8.79E+13,29.7,Lya,blended with 1123 - errors are way too small?
1H0419-577,1264,NGC1574,12,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.07145421466490964,0.038165034227369395,168.90441325282507,140.29611541307906,199.52704780119473,x,902.0,1041.0,-223.0,19.3,x,27.0,24.6,24.0,45.0,67.5,203.31,.LAS-*.,0.79,35.0,SA0^-,SA0^-,0.003472,0.104,x,?,True,True,1264,"1252, 1358",91,2.02E+13,32.5,Lya,blended with 1188 - errors are way too small?
1H0419-577,2020.0,x,0,"('66.50291667', '-57.20055556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.104,x,False,False,False,2020,"2004, 2048",9,1.67E+12,17.5,Lya,super weak : NO GALAXIES
1H0419-577,7801,APMBGC157+004+115,1,"('66.50291666666666', '-57.20055555555555')","('66.09964', '-57.11457')",-99.99,-99.99,-99.99,-99.99,449.86483874206806,x,7788.0,7925.0,124.0,109.68,x,-99.99,-99.99,-99,-99,30.5,-99.99,x,-99.99,-99,S,S,0.026435,0.104,x,?,False,False,7801,"7712, 7872",122,2.61E+13,43.9,Lya,looks asymetric : ONLY 1 GALAXY
1H0419-577,8819.0,x,0,"('66.50291667', '-57.20055556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.104,x,False,False,False,8819,"8772, 8874",39,7.57E+12,30.4,Lya, : NO GALAXIES
1H0419-577,9962.0,x,0,"('66.50291667', '-57.20055556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.104,x,False,False,False,9962,"9926, 10000",34,6.78E+12,23.3,Lya, : NO GALAXIES
HE0429-5343,1167,NGC1617,7,"('67.66666666666667', '-53.61555555555555')","('67.91471', '-54.60228')",0.05981590536569971,0.004293385621943491,146.18622091989516,102.48638446154688,233.26134506519656,x,926.0,1063.0,-104.0,13.4,x,21.9,10.3,62.0,107.0,64.5,255.95,.SBS1..,0.26,107.0,(R')SAB(rs)a,(R')SAB(rs)a,0.003546,0.04001,x,?,True,False,1167,"1124, 1200",79,1.71E+13,25.8,Lya,noisy : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0429-5343,1358,NGC1617,7,"('67.66666666666667', '-53.61555555555555')","('67.91471', '-54.60228')",0.008899958391424132,0.0006388092458021547,146.18622091989516,102.48638446154688,233.26134506519656,x,926.0,1063.0,-295.0,13.4,x,21.9,10.3,62.0,107.0,64.5,255.95,.SBS1..,0.74,107.0,(R')SAB(rs)a,(R')SAB(rs)a,0.003546,0.04001,x,?,False,False,1358,"1260, 1430",136,2.88E+13,57.8,Lya,noisy : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0429-5343,3949.0,x,0,"('67.66666667', '-53.61555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.04001,x,False,False,False,3949,"3895, 3993",158,3.96E+13,31,Lya, : NO GALAXIES
HE0429-5343,4951.0,x,0,"('67.66666667', '-53.61555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.04001,x,False,False,False,4951,"4888, 5006",134,3.10E+13,34.1,Lya, : NO GALAXIES
HE0429-5343,5638,ADF-S113,2,"('67.66666666666667', '-53.61555555555555')","('67.71205', '-53.79554')",-99.99,-99.99,-99.99,-99.99,262.03081206071784,x,5858.0,5996.0,358.0,82.5,x,-99.99,-99.99,-99,-99,89.5,-99.99,x,-99.99,-99,x,x,0.02,0.04001,x,?,False,False,5638,"5586, 5680",92,1.98E+13,34.7,Lya, : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0429-5343,8953.0,x,0,"('67.66666667', '-53.61555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.04001,x,False,False,False,8953,"8820, 9092",555,2.37E+14,61.1,Lya,intrinsic - vAGN = 11994 : NO GALAXIES
HE0435-5304,1512,NGC1566GROUP:[KKF2005]17,4,"('69.21208333333334', '-52.97972222222222')","('69.90367', '-53.01264')",0.04090393503670699,2.39521896914433e-05,109.98764963207289,55.214355017513334,174.17088724920578,x,1545.0,1678.0,166.0,23.9,x,14.5,3.3,77.0,28.0,66.5,116.99,.S?....,0.74,28.0,S?,S?,0.005597,0.42616,x,?,True,False,1512,"1450, 1570",220,5.91E+13,37.9,Lya,blended with 1633 : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0435-5304,1633,NGC1566GROUP:[KKF2005]17,4,"('69.21208333333334', '-52.97972222222222')","('69.90367', '-53.01264')",0.07743983169354796,4.534657941180395e-05,109.98764963207289,55.214355017513334,174.17088724920578,x,1545.0,1678.0,45.0,23.9,x,14.5,3.3,77.0,28.0,66.5,116.99,.S?....,0.74,28.0,S?,S?,0.005597,0.42616,x,?,True,False,1633,"1570, 1666",217,6.07E+13,35.8,Lya,"blended with 1512, 1690 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE0435-5304,1690,NGC1566GROUP:[KKF2005]17,4,"('69.21208333333334', '-52.97972222222222')","('69.90367', '-53.01264')",0.08116842116259602,4.7529936151540915e-05,109.98764963207289,55.214355017513334,174.17088724920578,x,1545.0,1678.0,-12.0,23.9,x,14.5,3.3,77.0,28.0,66.5,116.99,.S?....,0.74,28.0,S?,S?,0.005597,0.42616,x,?,True,False,1690,"1666, 1770",204,5.60E+13,35.7,Lya,blended with 1633 : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0435-5304,3936.0,x,0,"('69.21208333', '-52.97972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.42616,x,False,False,False,3936,"3875, 3999",88,1.82E+13,42.3,Lya, : NO GALAXIES
RBS563,5111.0,x,0,"('69.62166667', '-61.79972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.069,x,False,False,False,5111,"5049, 5153",117,2.60E+13,36.8,Lya,blended with 5178 : NO GALAXIES
RBS563,5178.0,x,0,"('69.62166667', '-61.79972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.069,x,False,False,False,5178,"5153, 5305",168,3.74E+13,56.7,Lya,blended with 5111 : NO GALAXIES
RBS563,7529.0,x,0,"('69.62166667', '-61.79972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.069,x,False,False,False,7529,"7428, 7620",471,1.95E+14,51.4,Lya,slightly blended with 7659 : NO GALAXIES
RBS563,7659.0,x,0,"('69.62166667', '-61.79972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.069,x,False,False,False,7659,"7620, 7704",80,1.70E+13,30.2,Lya,slightly blended with 7529 : NO GALAXIES
RBS567,613,NGC1566GROUP:[KKF2005]18,5,"('69.91125', '-53.191944444444445')","('67.851', '-54.41683')",2.775697378358162e-17,1.1401408183139869e-141,76.70151309027739,25.220150673618107,451.94715577099686,x,845.0,982.0,369.0,15.0,x,8.6,1.8,78.0,115.0,69.8,143.93,.L..0P/,0.21,101.0,S0^0^_pec_sp,S0^0^_pec_sp,0.003276,0.243,x,?,False,False,613,"559, 675",87,1.82E+13,39.4,Lya,hard to fit continuum : VIRIAL AND CUSTOM INCLUDE MISMATCH
RBS567,1664,NGC1566GROUP:[KKF2005]17,4,"('69.91125', '-53.191944444444445')","('69.90367', '-53.01264')",1.252973405485278,0.15864994685407138,109.98764963207289,55.214355017513334,74.81810161561626,x,1545.0,1678.0,14.0,23.9,x,14.5,3.3,77.0,28.0,29.4,116.99,.S?....,0.74,28.0,S?,S?,0.005597,0.243,x,?,True,True,1664,"1542, 1776",517,2.21E+14,55.5,Lya,
RBS567,3947,PGC015802,1,"('69.91125', '-53.191944444444445')","('70.18337', '-52.75828')",2.157860937968981e-07,1.3757896158341452e-27,108.938619092996,54.07593734740065,424.7848845691427,x,3738.0,3871.0,-76.0,52.5,x,14.3,2.7,79.0,35.0,14.4,99.58,.S.4*P/,0.19,64.0,Sbc:_pec_sp,Sbc:_pec_sp,0.012912,0.243,x,?,False,False,3947,"3904, 3996",93,2.01E+13,32.7,Lya, : ONLY 1 GALAXY
RBS567,4332.0,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,False,False,False,4332,"4284, 4366",50,1.02E+13,33.2,Lya,weak : NO GALAXIES
RBS567,5259.0,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,False,False,False,5259,"5192, 5312",134,3.00E+13,40,Lya,could be 2 blended? : NO GALAXIES
RBS567,6370.0,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,False,False,False,6370,"6339, 6393",35,7.16E+12,17.9,Lya,weak : NO GALAXIES
RBS567,8033.0,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,False,False,False,8033,"8029, 8057",13,2.68E+12,8.1,Lya,super weak : NO GALAXIES
RBS567,9119.0,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,False,False,False,9119,"9087, 9151",32,6.44E+12,27.8,Lya,super weak : NO GALAXIES
