System #  & Galaxy  &        Target  &                  $\rho$  & Az.  & $V_{sys}$  & $V_{rot}$  & $V_{Ly\alpha}$  & $W_{Ly\alpha}$  & Cyl. Model  &  NFW Model  \\
32  &       NGC5364  &       SDSSJ135726.27+043541.4  & 165  &    84  &  1238  &      155  &       1124  &           83  &             1211 - 1370  & 1207 - 1324  \\
33  &       NGC5786  &       QSO1500-4140  &            453  &    1  &   2975  &      172  &       3138  &           177  &            3062 - 3157  & 2975 - 3060  \\
34  &       NGC5907  &       SBS1503+570  &             413  &    47  &  667  &       229  &       708  &            301  &            696 - 903  &   641 - 774  \\
35  &       NGC5907  &       RBS1503  &                 478  &    63  &  667  &       229  &       -99  &            -99  &            432 - 659  &   565 - 701  \\
36  &       NGC5951  &       2E1530+1511  &             55  &     85  &  1780  &      133  &       1795  &           507  &            1748 - 1902  & 1748 - 1909  \\
36  &       NGC5951  &       2E1530+1511  &             55  &     85  &  1780  &      133  &       1953  &           137  &            1748 - 1902  & 1748 - 1909  \\
37  &       NGC6140  &       MRK876  &                  113  &    21  &  910  &       138  &       939  &            379  &            952 - 1021  &  948 - 1023  &  \\
38  &       NGC7817  &       MRK335  &                  343  &    90  &  2309  &      178  &       1954  &           216  &            2283 - 2284  & 2283 - 2285  \\
38  &       NGC7817  &       MRK335  &                  343  &    90  &  2309  &      178  &       2274  &           150  &            2283 - 2284  & 2283 - 2285  \\
39  &       UGC04238  &      PG0804+761  &              148  &    59  &  1544  &      92  &        1526  &           62  &             1538 - 1642  & 1532 - 1635  \\
39  &       UGC04238  &      PG0804+761  &              148  &    59  &  1544  &      92  &        1593  &           32  &             1538 - 1642  & 1532 - 1635  \\
40  &       UGC06446  &      SDSSJ112448.30+531818.0  & 143  &    22  &  645  &       79  &        664  &            339  &            636 - 716  &   630 - 713  \\
41  &       UGC08146  &      PG1259+593  &              114  &    50  &  670  &       82  &        646  &            133  &            655 - 755  &   651 - 753  \\
41  &       UGC08146  &      PG1259+593  &              114  &    50  &  670  &       82  &        683  &            168  &            655 - 755  &   651 - 753  \\
42  &       UGC09760  &      SDSSJ151237.15+012846.0  & 123  &    90  &  2094  &      54  &        2029  &           506  &            2064 - 2124  & 2064 - 2191  \\
