Name,Target,number,identified,include,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,resolution,fit_v,e_fit_v,fit_b,e_fit_b,fit_N,e_fit_N,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,model_range,NFW_range,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,PA_observed,azimuth,approach_side,PA_adjust,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC1566,1H0419-577,5,Lya,maybe,"2004, 2048",1,2020,9,1,1.67E+12,2.66E+11,17.5,1.4,29.2,2.3,16.9,2020,5,30.9,0.9,12.436,0.103,super weak,0.005017,0.104,302.77587,65.00175,-54.93781,66.50291667,-57.20055556,1504,1502,15,64,13,86,21,"[48, 76]","[-2, 31]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,9.8,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0429-5343,6,Lya,maybe,"1124, 1200",4,1167,79,14,1.71E+13,3.36E+12,25.8,2.5,42.9,4.1,16.9,1159,8,34.4,11.6,13.135,0.134,noisy,0.005017,0.04001,256.2063291,65.00175,-54.93781,67.66666667,-53.61555556,1504,1502,15,-64,13,-86,21,"[-53, -2]","[-22, 17]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,60.1,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0429-5343,6,Lya,maybe,"1260, 1430",1,1358,136,21,2.88E+13,4.84E+12,57.8,3.7,96.2,6.2,16.9,1353,7,37.3,11,13.194,0.126,noisy,0.005017,0.04001,256.2063291,65.00175,-54.93781,67.66666667,-53.61555556,1504,1502,15,-64,13,-86,21,"[-53, -2]","[-22, 17]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,60.1,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC2770,FBQSJ0908+3246,7,Lya,yes,"1868, 1950",1,1915,202,17,6.65E+13,1.01E+13,27.1,3.2,45.1,5.3,16.9,1908,4,28.2,5.2,13.816,0.084,blended with Lya@1982,0.006494,0.25989,204.033,137.39045,33.12353,137.1616667,32.77222222,1947,1948,2,148,6,150,10,"[-146, -4]","[-117, 10]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,58.7,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,FBQSJ0908+3246,7,Lya,yes,"1950, 2078",6,1982,230,23,6.29E+13,8.55E+12,42.1,3.2,70.1,5.3,16.9,1988,8,47.1,10,13.843,0.084,blended with Lya@1982,0.006494,0.25989,204.033,137.39045,33.12353,137.1616667,32.77222222,1947,1948,2,148,6,150,10,"[-146, -4]","[-117, 10]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,58.7,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,TON1009,8,Lya,yes,"1846, 1936",1,1908,111,14,2.55E+13,3.86E+12,33.3,3.6,55.5,6,16.9,1908,10,27.3,6.7,13.29,0.094,blended with Lya@1980,0.006494,0.81028,267.115,137.39045,33.12353,137.2758333,32.60833333,1947,1948,2,148,6,150,10,"[-146, -39]","[-110, -14]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,40.6,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,TON1009,8,Lya,yes,"1936, 2032",1,1980,243,12,7.96E+13,6.83E+12,31,3,51.6,5,16.9,1977,2,32,2.5,13.932,0.032,"blended with Lya@1908, saturated",0.006494,0.81028,267.115,137.39045,33.12353,137.2758333,32.60833333,1947,1948,2,148,6,150,10,"[-146, -39]","[-110, -14]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,40.6,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,TON1015,9,Lya,yes,"1764, 1896",2,1833,244,15,7.07E+13,5.97E+12,36.9,2.6,61.5,4.3,16.9,1833,2,34.5,2.6,13.848,0.031,blended with Lya@1985,0.006494,0.354,217.945,137.39045,33.12353,137.6541667,33.49,1947,1948,2,148,6,150,10,"[3, 146]","[-10, 115]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,61,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,TON1015,9,Lya,yes,"1944, 2026",1,1985,80,13,1.72E+13,3.18E+12,28.9,2.5,48.1,4.2,16.9,1982,10,40.8,11.2,13.276,0.105,blended with Lya@1833,0.006494,0.354,217.945,137.39045,33.12353,137.6541667,33.49,1947,1948,2,148,6,150,10,"[3, 146]","[-10, 115]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,61,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,SDSSJ091052.80+333008.0,10,Lya,yes,"1726, 1872",3,1824,266,26,8.30E+13,1.21E+13,39.2,3.7,65.3,6.1,16.9,1824,3,38.8,3.7,13.937,0.042,"weak, messy and hard to fit",0.006494,0.11631,238.639,137.39045,33.12353,137.72,33.50222222,1947,1948,2,148,6,150,10,"[6, 145]","[-7, 112]",2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,66,southeast,60,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
