targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
MRC2251-178,9029,MCG-03-58-009,1,"('343.52458333333334', '-17.581944444444446')","('343.42021', '-17.47889')",0.341932875,1.488604314,342.7587368,653.4200617,355.068246,x,8754,9030,1,142,x,75.3,50.5,48,27,71,62.83,.S?....,0.66,27,Sc,Sc,0.030121,0.06609,x,1,TRUE,TRUE,9029,"8961, 9095",62,1.22E+13,45.7,Lya, : ONLY 1 GALAXY
MRC2251-178,9735,x,0,"('343.5245833', '-17.58194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.06609,x,0,FALSE,FALSE,9735,"9668, 9798",188,4.52E+13,40.8,Lya, : NO GALAXIES
1H0419-577,1075,NGC1574,15,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.240659216,0.128540594,168.9044133,140.2961154,199.5270478,x,902,1041,-34,19.3,x,27,24.6,24,45,67.5,203.31,.LAS-*.,-99.99,35,SA0^-,SA0^-,0.003472,0.104,x,1,TRUE,TRUE,1075,"990, 1100",249,1.17E+14,28.2,Lya,"blended with 1123, 1188 - errors are way too small?"
1H0419-577,1123,NGC1574,16,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.209386513,0.111837258,168.9044133,140.2961154,199.5270478,x,902,1041,-82,19.3,x,27,24.6,24,45,67.5,203.31,.LAS-*.,0.79,35,SA0^-,SA0^-,0.003472,0.104,x,1,TRUE,TRUE,1123,"1100, 1168",269,1.62E+14,26.8,Lya,"blended with 1123, 1188 - errors are way too small?"
1H0419-577,1188,NGC1574,16,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.14432344,0.077085852,168.9044133,140.2961154,199.5270478,x,902,1041,-147,19.3,x,27,24.6,24,45,67.5,203.31,.LAS-*.,0.79,35,SA0^-,SA0^-,0.003472,0.104,x,1,TRUE,TRUE,1188,"1168, 1252",240,8.79E+13,29.7,Lya,blended with 1123 - errors are way too small?
1H0419-577,1264,NGC1574,12,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.071454215,0.038165034,168.9044133,140.2961154,199.5270478,x,902,1041,-223,19.3,x,27,24.6,24,45,67.5,203.31,.LAS-*.,0.79,35,SA0^-,SA0^-,0.003472,0.104,x,1,TRUE,TRUE,1264,"1252, 1358",91,2.02E+13,32.5,Lya,blended with 1188 - errors are way too small?
1H0419-577,2020,x,0,"('66.50291667', '-57.20055556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.104,x,0,FALSE,FALSE,2020,"2004, 2048",9,1.67E+12,17.5,Lya,super weak : NO GALAXIES
1H0419-577,7801,APMBGC157+004+115,1,"('66.50291666666666', '-57.20055555555555')","('66.09964', '-57.11457')",-99.99,-99.99,-99.99,-99.99,449.8648387,x,7788,7925,124,109.68,x,-99.99,-99.99,-99,-99,30.5,-99.99,x,-99.99,-99,S,S,0.026435,0.104,x,0,FALSE,FALSE,7801,"7712, 7872",122,2.61E+13,43.9,Lya,looks asymetric : ONLY 1 GALAXY
1H0419-577,8819,x,0,"('66.50291667', '-57.20055556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.104,x,0,FALSE,FALSE,8819,"8772, 8874",39,7.57E+12,30.4,Lya, : NO GALAXIES
1H0419-577,9962,x,0,"('66.50291667', '-57.20055556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.104,x,0,FALSE,FALSE,9962,"9926, 10000",34,6.78E+12,23.3,Lya, : NO GALAXIES
HE0429-5343,1167,NGC1617,7,"('67.66666666666667', '-53.61555555555555')","('67.91471', '-54.60228')",0.059815905,0.004293386,146.1862209,102.4863845,233.2613451,x,926,1063,-104,13.4,x,21.9,10.3,62,107,64.5,255.95,.SBS1..,0.26,107,(R')SAB(rs)a,(R')SAB(rs)a,0.003546,0.04001,x,1,TRUE,FALSE,1167,"1124, 1200",79,1.71E+13,25.8,Lya,noisy : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0429-5343,1358,NGC1617,7,"('67.66666666666667', '-53.61555555555555')","('67.91471', '-54.60228')",0.008899958,0.000638809,146.1862209,102.4863845,233.2613451,x,926,1063,-295,13.4,x,21.9,10.3,62,107,64.5,255.95,.SBS1..,0.74,107,(R')SAB(rs)a,(R')SAB(rs)a,0.003546,0.04001,x,0,FALSE,FALSE,1358,"1260, 1430",136,2.88E+13,57.8,Lya,noisy : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0429-5343,3949,x,0,"('67.66666667', '-53.61555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.04001,x,0,FALSE,FALSE,3949,"3895, 3993",158,3.96E+13,31,Lya, : NO GALAXIES
HE0429-5343,4951,x,0,"('67.66666667', '-53.61555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.04001,x,0,FALSE,FALSE,4951,"4888, 5006",134,3.10E+13,34.1,Lya, : NO GALAXIES
HE0429-5343,5638,ADF-S113,2,"('67.66666666666667', '-53.61555555555555')","('67.71205', '-53.79554')",-99.99,-99.99,-99.99,-99.99,262.0308121,x,5858,5996,358,82.5,x,-99.99,-99.99,-99,-99,89.5,-99.99,x,-99.99,-99,x,x,0.02,0.04001,x,0,FALSE,FALSE,5638,"5586, 5680",92,1.98E+13,34.7,Lya, : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0429-5343,8953,x,0,"('67.66666667', '-53.61555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.04001,x,0,FALSE,FALSE,8953,"8820, 9092",555,2.37E+14,61.1,Lya,intrinsic - vAGN = 11994 : NO GALAXIES
HE0435-5304,1512,NGC1566GROUP:[KKF2005]17,4,"('69.21208333333334', '-52.97972222222222')","('69.90367', '-53.01264')",0.040903935,2.40E-05,109.9876496,55.21435502,174.1708872,x,1545,1678,166,23.9,x,14.5,3.3,77,28,66.5,116.99,.S?....,0.74,28,S?,S?,0.005597,0.42616,x,1,TRUE,FALSE,1512,"1450, 1570",220,5.91E+13,37.9,Lya,blended with 1633 : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0435-5304,1633,NGC1566GROUP:[KKF2005]17,4,"('69.21208333333334', '-52.97972222222222')","('69.90367', '-53.01264')",0.077439832,4.53E-05,109.9876496,55.21435502,174.1708872,x,1545,1678,45,23.9,x,14.5,3.3,77,28,66.5,116.99,.S?....,0.74,28,S?,S?,0.005597,0.42616,x,1,TRUE,FALSE,1633,"1570, 1666",217,6.07E+13,35.8,Lya,"blended with 1512, 1690 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE0435-5304,1690,NGC1566GROUP:[KKF2005]17,4,"('69.21208333333334', '-52.97972222222222')","('69.90367', '-53.01264')",0.081168421,4.75E-05,109.9876496,55.21435502,174.1708872,x,1545,1678,-12,23.9,x,14.5,3.3,77,28,66.5,116.99,.S?....,0.74,28,S?,S?,0.005597,0.42616,x,1,TRUE,FALSE,1690,"1666, 1770",204,5.60E+13,35.7,Lya,blended with 1633 : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0435-5304,3936,x,0,"('69.21208333', '-52.97972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.42616,x,0,FALSE,FALSE,3936,"3875, 3999",88,1.82E+13,42.3,Lya, : NO GALAXIES
RBS563,5111,x,0,"('69.62166667', '-61.79972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.069,x,0,FALSE,FALSE,5111,"5049, 5153",117,2.60E+13,36.8,Lya,blended with 5178 : NO GALAXIES
RBS563,5178,x,0,"('69.62166667', '-61.79972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.069,x,0,FALSE,FALSE,5178,"5153, 5305",168,3.74E+13,56.7,Lya,blended with 5111 : NO GALAXIES
RBS563,7529,x,0,"('69.62166667', '-61.79972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.069,x,0,FALSE,FALSE,7529,"7428, 7620",471,1.95E+14,51.4,Lya,slightly blended with 7659 : NO GALAXIES
RBS563,7659,x,0,"('69.62166667', '-61.79972222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.069,x,0,FALSE,FALSE,7659,"7620, 7704",80,1.70E+13,30.2,Lya,slightly blended with 7529 : NO GALAXIES
RBS567,613,NGC1566GROUP:[KKF2005]18,5,"('69.91125', '-53.191944444444445')","('67.851', '-54.41683')",2.78E-17,1.14E-141,76.70151309,25.22015067,451.9471558,x,845,982,369,15,x,8.6,1.8,78,115,69.8,143.93,.L..0P/,0.21,101,S0^0^_pec_sp,S0^0^_pec_sp,0.003276,0.243,x,0,FALSE,FALSE,613,"559, 675",87,1.82E+13,39.4,Lya,hard to fit continuum : VIRIAL AND CUSTOM INCLUDE MISMATCH
RBS567,1664,NGC1566GROUP:[KKF2005]17,4,"('69.91125', '-53.191944444444445')","('69.90367', '-53.01264')",1.252973405,0.158649947,109.9876496,55.21435502,74.81810162,x,1545,1678,14,23.9,x,14.5,3.3,77,28,29.4,116.99,.S?....,0.74,28,S?,S?,0.005597,0.243,x,1,TRUE,TRUE,1664,"1542, 1776",517,2.21E+14,55.5,Lya,
RBS567,3947,PGC015802,1,"('69.91125', '-53.191944444444445')","('70.18337', '-52.75828')",2.16E-07,1.38E-27,108.9386191,54.07593735,424.7848846,x,3738,3871,-76,52.5,x,14.3,2.7,79,35,14.4,99.58,.S.4*P/,0.19,64,Sbc:_pec_sp,Sbc:_pec_sp,0.012912,0.243,x,0,FALSE,FALSE,3947,"3904, 3996",93,2.01E+13,32.7,Lya, : ONLY 1 GALAXY
RBS567,4332,x,0,"('69.91125', '-53.19194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.243,x,0,FALSE,FALSE,4332,"4284, 4366",50,1.02E+13,33.2,Lya,weak : NO GALAXIES
